episode_id,start_step,end_step,action,segment_len,mean_delta_3,mean_delta_1,mean_slope_5,mean_std_5
1,2,3,RUN,2,-0.12864742665418694,-0.0014118930397045842,-0.08189235621905205,0.09723421716011858
1,10,10,RUN,1,-0.04960535769367242,0.10672976934347468,0.026528178856622762,0.09172556080939673
1,16,16,RUN,1,0.41904175489883455,0.47318361883518584,0.11878558443277899,0.19392551508594608
2,3,3,RUN,1,-0.08333164959727388,-0.14278854946951897,0.026630833493021876,0.10468039737678875
2,6,8,RUN,3,0.010503596056729195,0.02013588593300304,-0.0029827175004765033,0.08146204119513785
2,17,19,RUN,3,0.03563693237044266,0.10140971821303102,0.027954439372794387,0.08307627730310246
3,4,4,RUN,1,-0.1565004172324282,-0.13137659284676095,-0.015983053753028165,0.06371844329639283
3,16,17,RUN,2,0.18501213479137507,0.24398623797177774,0.07291185338690402,0.11740425144894694
4,6,6,RUN,1,0.07044696352952405,0.1575676310550812,0.058614749808982396,0.0924967047663997
4,16,16,RUN,1,0.008448466618947076,0.10464090685574697,-0.017515222224342857,0.08244944169598634
5,4,4,RUN,1,0.2898467505914553,0.6234121557117266,0.12494409483360823,0.28386706575739123
6,4,4,RUN,1,-0.07892043666339398,-0.04559975196767801,0.013700457291352613,0.05334519531808319
6,7,7,RUN,1,0.051682068254052665,-0.03551924219387758,-0.047130281567837724,0.09573186003423273
6,9,11,RUN,3,0.032502203743580226,0.07116061097344697,0.0349627331907142,0.08320289012973474
6,13,13,RUN,1,0.0376263061945801,-0.06845114233993216,0.00572941862477621,0.07872177350006464
6,17,17,RUN,1,0.01138033279300809,-0.08242445536470253,-0.019095381520070318,0.09230852847888836
6,19,19,RUN,1,-0.1781464909569188,-0.2317656501832748,-0.014433724725815802,0.0905833525851499
9,3,4,RUN,2,-0.04306727179864341,-0.06757360430024256,-0.047689136968197404,0.10025845659038077
9,7,7,RUN,1,-0.17280123127414287,-0.006412178476075503,-0.016972772244370462,0.1177884867321655
9,13,13,RUN,1,0.01868889246201877,-0.010050200985702418,0.005354206955286845,0.021992372637948347
9,18,18,RUN,1,0.05781298470950369,0.09698166235063047,0.020679815167372505,0.09072185883299824
10,5,5,RUN,1,-0.059868484995029975,0.03426117140362103,-0.026973428858892378,0.09760226304363388
10,7,7,RUN,1,-0.10958601074519354,-0.10795348300104553,-0.06329559364125062,0.10401144528045426
10,9,10,RUN,2,0.004434706750265974,-0.010847073050846576,-0.014123145153941318,0.03974421571694477
10,17,18,RUN,2,0.11053700508632289,0.1918170388170263,0.06002420619204753,0.09543612982135659
12,3,3,RUN,1,0.10272493388839643,0.07435143532531574,0.033663288091957254,0.048018550965229494
14,4,4,RUN,1,-0.2481525947749666,-0.3074841854861642,-0.03710000078850059,0.11007119837997663
14,7,7,RUN,1,-0.11115661000394055,-0.09226514430258322,-0.05947541337920214,0.1058199491586879
14,10,12,RUN,3,0.10215188556263843,0.1302085232714129,0.03800001620843995,0.09965033378071719
14,15,16,RUN,2,0.01221795586884561,0.1233544413270399,0.04463947071260542,0.11062541686265528
14,19,19,RUN,1,-0.36815144824097135,-0.4890955755251824,-0.1031422009221193,0.16754235248387997
15,4,5,RUN,2,0.08071710980314704,0.12089227274202106,0.023403295752552566,0.09753622312189793
15,9,9,RUN,1,0.12055503993644018,0.22009620405150976,0.024527811823950203,0.07558076405375157
15,11,11,RUN,1,0.10706359452358771,0.12292578453915518,0.03141983915249329,0.05593505814489111
16,8,8,RUN,1,0.006150467332140221,0.025508151022253563,0.0002932383503877101,0.018252916779792766
16,14,14,RUN,1,0.05670290521456615,0.15879908652566677,0.03363415996179579,0.09506867074958662
16,16,16,RUN,1,0.22984008155120625,0.2934854444382609,0.0279697059042562,0.10045687630435378
17,8,8,RUN,1,-0.17295911833407934,-0.20029275770281715,-0.06961179141230849,0.10740553116049402
17,10,10,RUN,1,0.09617029682979956,0.018792231648567418,0.0038434871140013327,0.06795961917229244
17,14,15,RUN,2,0.0005547420677971451,0.12635194665650074,0.03509048115614181,0.12220052140007724
18,3,4,RUN,2,-0.15661414791535522,-0.12666553130980496,-0.04776356836438247,0.08285594043246446
18,7,8,RUN,2,-0.014402423634205734,0.08366907355912971,0.024914405904389578,0.08843979423618864
18,10,10,RUN,1,0.0810072833680716,0.036792222012711685,-0.003991866071090035,0.07132340045935412
18,12,12,RUN,1,0.08453309487175201,0.10469546978768993,0.05490864152912002,0.08505720885608893
18,14,14,RUN,1,-0.0036685945292595917,0.008537677757273557,-0.0002790828385101655,0.034726041514772876
18,16,16,RUN,1,-0.02354253753521998,0.030411634768339885,-0.0030288071145496485,0.045377554567997795
19,2,3,RUN,2,0.034360282279366355,0.07467094878650801,0.0032490900761947654,0.03293321246305633
19,5,5,RUN,1,-0.07259133429586132,-0.1604774720691574,-0.046235355493379746,0.10859690756878466
19,7,9,RUN,3,0.030483944193089595,0.07414658438285085,0.020371674322699918,0.086362342220182
19,15,15,RUN,1,0.054502940936598035,-0.14568798835737334,-0.03368931246705051,0.13189127636803952
19,17,19,RUN,3,-0.07144018108385945,-0.06129854314461112,-0.018176298809503125,0.10594412093238455
20,4,4,RUN,1,0.06432112495451109,0.09299926785466213,0.026395723440214357,0.04108455566518421
20,6,6,RUN,1,0.08689569360338753,0.16962777283936464,0.04731170785903387,0.07535105361539193
21,9,9,RUN,1,0.01297746674825137,0.14395951197138868,-0.014377831313064379,0.10065383336581181
21,11,11,RUN,1,0.06791500165758362,0.030563900016852975,-0.004185670164509792,0.03738940471208126
21,17,18,RUN,2,0.05790515172358356,0.008037973025923493,0.01700901220935106,0.08402315256254485
23,3,3,RUN,1,-0.189010967453973,-0.1912385384340856,-0.028882771555551034,0.09549354456960807
23,5,6,RUN,2,0.05734987898229928,0.001338541520497602,-0.021421763593984726,0.12103297037866548
23,9,9,RUN,1,-0.031067641446225768,0.12062580687379451,0.012509062821359477,0.09813125541455113
23,13,14,RUN,2,-0.1028425840574273,-0.04528001588299101,-0.0011397718846320442,0.08653620356742617
23,18,18,RUN,1,-0.1783969431088173,-0.06796495998514289,0.0013053561979946154,0.10438860411382248
24,4,4,RUN,1,-0.07323475690734618,-0.0814007624278488,-0.03767156558093528,0.059616246387942655
24,10,10,RUN,1,0.047581703770057465,0.04504585342992662,-0.03139758139869935,0.0798326294924776
24,12,12,RUN,1,-0.17498239216506728,-0.18202900845586067,-0.04026995404946644,0.07727752974375877
24,15,15,RUN,1,0.010031514543534788,0.03514013887565333,-0.014119245118791349,0.0397860039718176
24,18,18,RUN,1,0.30537298313263905,0.4318386740217496,0.11946529234131952,0.17865026779072296
25,4,5,RUN,2,0.22301553618839745,0.40795837696763604,0.11895956152244883,0.2052306449552475
26,4,4,RUN,1,-0.18426167242264357,-0.15033232136415772,-0.024852804233361434,0.07742591148025295
26,6,8,RUN,3,-0.08234105111875677,-0.07151093770488973,-0.014392357286896064,0.09155877567911284
26,10,14,RUN,5,0.02437258284850121,0.038373141117996924,0.0005343503903737987,0.11386123445598106
26,16,16,RUN,1,-0.030478590822000134,-0.0985740619237683,0.019307355005252817,0.07642063319719877
26,19,19,RUN,1,-0.04816474920492882,-0.09655302723700376,-0.03516044287417069,0.057439858806250556
27,3,3,RUN,1,0.14358843138351285,0.1922915154184336,0.006155143057718112,0.09494876703253953
27,6,6,RUN,1,0.2265330731172101,0.20758226637253396,0.07843056390426509,0.13417756966973535
27,8,8,RUN,1,-0.045351721506644044,0.09256601710302742,0.023530980302458912,0.09012586138501957
27,10,10,RUN,1,0.008632549462197686,-0.047976874564358785,-0.042469774379304416,0.07427912280019473
27,18,19,RUN,2,0.20902958524434942,0.256519097131626,0.0968734566702685,0.15477885109788875
28,4,4,RUN,1,0.15611133128138585,0.09058167257913591,0.021820973860508453,0.07693373098606941
28,7,7,RUN,1,-0.18498681521727364,-0.1279808586170894,0.015466702048723191,0.1430038480797163
28,10,10,RUN,1,-0.0481888464736239,0.04387527514372386,0.0028178546603797507,0.05436110857439123
28,13,14,RUN,2,-0.033118628117405846,-0.01837539484080504,-0.01361365372093094,0.043392317450361206
28,17,17,RUN,1,0.09431995198107722,0.09235792048395336,-0.015858320768526727,0.09415573354793678
29,4,4,RUN,1,-0.03254019139310845,-0.11015007552856296,-0.03587431276892106,0.06864417584160597
29,7,8,RUN,2,0.06003281968410852,0.08327660656499607,0.032845921554732996,0.05261794274530624
30,7,8,RUN,2,-0.3308568796959396,-0.24840158984165547,-0.047484058643159396,0.32286615684436715
30,12,12,RUN,1,-0.030539736124794534,-0.018932496984947964,0.029647769249522383,0.07235710525813017
30,14,14,RUN,1,0.018234736863824562,-0.0821058023769456,-0.05442044423881121,0.11758086223125658
30,17,17,RUN,1,0.006481013908680076,0.01571915323348011,0.05768878950368932,0.11542075022482735
31,8,8,RUN,1,-0.02291772888646626,0.0302126718163251,-0.008518706559762623,0.07180518606005626
31,11,11,RUN,1,-0.06334571920540108,0.10920583635334286,0.012741470702446692,0.11469005633636889
32,2,4,RUN,3,0.06731946714144092,0.01006181807146705,-0.03087486094059692,0.057675237523569796
32,7,8,RUN,2,0.14113304755221498,0.14658809131304507,0.04622161732308516,0.09267144828558443
32,10,10,RUN,1,0.0377184636381912,0.08754880182119751,0.08504357328019237,0.145221493581621
34,5,5,RUN,1,0.2932759863077699,0.2671742829046529,0.04536456428467101,0.12375027967291334
35,4,4,RUN,1,0.15697629503491897,0.027941949528593198,0.005502676900762119,0.09362973100155553
35,6,6,RUN,1,0.1125860531796347,0.253637505319139,0.07775468711246293,0.11858627655968144
35,9,9,RUN,1,-0.16599204399673353,-0.1891606990122951,-0.01642484280151587,0.12760458887334372
35,15,15,RUN,1,0.2761737090240289,0.37254104655220777,0.06107519923957346,0.12681859917603572
36,4,7,RUN,4,-0.09694257096775924,-0.17883206386920775,-0.056610084380199856,0.0991761874639239
36,10,11,RUN,2,-0.04604695908630616,-0.16697822764506642,-0.07295723090318096,0.14559807766536562
36,14,14,RUN,1,-0.15095769148549423,-0.06823031790177998,0.007344398868632015,0.10829054176321445
37,8,11,RUN,4,-0.016391324025414704,-0.026679703361300523,-0.006723705886551196,0.07258173893880553
37,13,13,RUN,1,0.17295853646998227,0.12089252944351461,0.012549089663557814,0.08831448411646252
37,15,16,RUN,2,0.11735430834117666,0.15696491954423156,0.05035975232437799,0.11947892188593665
37,18,18,RUN,1,0.07171379499365438,-0.06335857570661214,-0.0051026976423107695,0.13422729471436548
38,4,4,RUN,1,0.2912374686370236,0.1600602380438158,-0.002504613668689549,0.16283358138819673
38,6,6,RUN,1,0.03518355458446018,0.3020467355129699,0.033990667238171214,0.15940715467318717
38,8,8,RUN,1,-0.17643400678091417,-0.21384560755832083,-0.09322848017695112,0.13670247725702825
38,10,10,RUN,1,-0.02522114252438594,-0.11969504946908303,-0.06450372600120674,0.1032225524629523
38,16,16,RUN,1,0.1549324546600432,0.07709715635712046,0.04594205516424443,0.10019150599924116
38,18,18,RUN,1,-0.12189706248194762,0.01750939695528296,0.02802348967780097,0.10203171660501043
40,3,3,RUN,1,-0.030117078554874915,-0.08503325540021629,0.004653576954802779,0.043434476683231395
40,8,10,RUN,3,-0.07446588508184357,-0.1346669977494969,-0.024766430162459368,0.1105521892617346
40,12,13,RUN,2,0.009393485092470448,0.062318680073214144,0.022093836884886812,0.11627282523624474
41,4,4,RUN,1,0.19677852535084123,0.10915004343158247,0.02261068446659547,0.09325366782050329
41,6,7,RUN,2,-0.058048275880803996,-0.042916926136636224,0.019389688857274368,0.08677617725039796
41,9,9,RUN,1,-0.15742185088870625,-0.19683353958716332,-0.032636479522353254,0.077995405175289
41,12,12,RUN,1,-0.0418843215996432,-0.01862651482804647,-0.030303984998265088,0.0998862007836391
41,15,15,RUN,1,-0.01925040310105702,0.0275026823666593,-0.019757269278493927,0.05286717211739016
41,17,17,RUN,1,0.14634778914057944,0.17531508552864022,0.03948093426224271,0.07434460292604225
42,3,3,RUN,1,-0.06828142509832517,-0.005107977201878319,-0.09644009909511304,0.142827598940188
42,11,12,RUN,2,0.11960235511785333,0.16201453365897464,0.07767543722466694,0.1429776280661596
43,3,3,RUN,1,-0.118653815343397,-0.14927355976779202,-0.04514416708288306,0.05723844470836769
43,5,5,RUN,1,-0.03516479708803852,-0.07674691679572555,-0.03383656514554773,0.05596273401016985
43,8,8,RUN,1,-0.11870705813423546,-0.045365926177874265,-0.017801346258288626,0.10474027675690675
43,11,11,RUN,1,0.06744555250051568,0.06229363897009273,0.014527430494453174,0.05187728836800418
43,14,14,RUN,1,0.08662741484775206,0.08006656668739916,0.020141944731506146,0.04750156247309973
43,16,16,RUN,1,-0.03930663154460927,-0.01669827254361228,0.020475660741722964,0.05076347620198565
43,19,19,RUN,1,0.08822075965895913,0.03648107423097653,-0.011398563307987617,0.05482446132013332
44,6,6,RUN,1,-0.09190742037662333,-0.2663052291918376,-0.03409163894922518,0.1038849274308761
44,8,8,RUN,1,-0.054425048862459136,-0.06622524059256904,-0.02617669911394066,0.03984032142412273
44,11,13,RUN,3,0.024240220526268702,0.04239859429942949,5.369610093317913e-05,0.08954498694287243
44,16,16,RUN,1,0.04792015646392962,0.0976398671052008,-0.005271427173465244,0.05134531288650433
44,19,19,RUN,1,-0.03113849824298569,-0.10527334299018311,-0.026272767043212974,0.048256011758907445
45,4,5,RUN,2,-0.02509763566208903,0.10676851387310579,0.06693966689922826,0.17183022808095805
45,11,11,RUN,1,0.15279256858164125,0.2039395637278078,0.13778404147414938,0.2149077411129007
46,5,5,RUN,1,0.07635023162796228,0.07092213911103981,0.014253932761976906,0.03734651956997922
46,7,9,RUN,3,-0.043673130691705385,0.0006334439599523697,0.01774475026102789,0.07985877457349148
46,13,13,RUN,1,0.1556106994162703,0.08351281217633583,0.044285612484618146,0.12267616766088091
47,5,5,RUN,1,-0.23684211146005624,-0.11394031887893019,-0.018938242673117524,0.12117654801084457
47,8,8,RUN,1,0.20399960028960165,0.21645732304192333,0.0036977174315824743,0.10990982213416851
47,11,11,RUN,1,-0.2573877079904785,-0.19628971358038177,-0.004318043288142853,0.12096539472899821
47,15,15,RUN,1,-0.21666940982580135,-0.27679196303970977,-0.08691594895346162,0.14345355406090907
47,19,19,RUN,1,0.08006782143862112,0.0730787005976152,0.026389199633595133,0.11843032867424728
48,4,4,RUN,1,0.024291815921061805,-0.1692085828618461,0.015406181934598714,0.13684947115622512
48,8,8,RUN,1,0.1321914504342446,0.13865174853882434,-0.0028252872574023053,0.1105411220879215
48,12,12,RUN,1,-0.00934264524195319,-0.005373046514496466,0.009062678296006967,0.09370549124111113
48,14,14,RUN,1,-0.1873509471259077,-0.25983112750461324,0.0010291237167728185,0.1128715741466061
48,17,18,RUN,2,0.16192209401660546,0.12495759178737043,0.010015620999704896,0.11361983272786758
52,4,4,RUN,1,-0.14862618632931157,-0.2450759571464322,-0.04080526442679324,0.0799387216767288
52,8,9,RUN,2,0.1507857886885829,0.19111552127390996,0.05066271502094512,0.07745986774661616
52,11,13,RUN,3,-0.1112681640360871,-0.10518508891863494,-0.0058818172851219765,0.10150454639635138
52,15,15,RUN,1,-0.09491155697020731,-0.09362598149466285,-0.06922740715697517,0.11376623623724248
52,19,19,RUN,1,0.16821493710113172,0.18950546875441268,0.04789136197462182,0.12624071164871384
54,5,6,RUN,2,-0.07206827508027097,-0.15295805976000862,-0.06173753127012148,0.11181716487317286
54,11,11,RUN,1,-0.08044326404139725,0.13739347779727373,0.05049753732098795,0.13606045133865155
54,14,14,RUN,1,-0.14565597524844034,-0.09338700680990081,-0.04756374765021433,0.10232271762538232
54,17,17,RUN,1,0.07530084196161571,0.17179994429009882,0.010697181085826539,0.07842264703045514
54,19,19,RUN,1,0.03307035948808691,-0.003297077885452915,0.009767936498629448,0.04185172123180517
55,11,11,RUN,1,0.18186705770051326,0.07129309248737357,0.026375398107362096,0.097771048129888
55,13,13,RUN,1,0.1823802870311896,0.2522992836846659,0.05934837071233106,0.12413898828432912
55,15,15,RUN,1,-0.05677849363057615,0.06839337766712561,-0.018021395601080507,0.0943651876950826
56,3,4,RUN,2,-0.12852673437285467,-0.09775759400833241,-0.05559002679692031,0.08114921284709589
56,6,6,RUN,1,0.18899117148864547,0.17701925118315737,0.01877657687113917,0.08996496325367895
56,8,8,RUN,1,0.07837330349995647,0.1603526065681926,0.07111791377599411,0.1093617945598802
56,11,13,RUN,3,-0.1020098687882226,-0.09550139039675314,-0.019125821629268555,0.07583141011275413
56,16,16,RUN,1,0.20251043133365404,0.30436735595487097,0.03440387882030676,0.11946631177090221
56,18,18,RUN,1,-0.025711217413609683,-0.0778425550458437,-0.0006471804380182789,0.10508333138091247
57,4,4,RUN,1,-0.13013120256560776,-0.11651870734423225,-0.05699949958480378,0.1123669684316617
57,10,10,RUN,1,-0.029654694029176837,-0.10832066069585908,-0.03235100551665636,0.07134876332668613
57,14,14,RUN,1,-0.14224777780765735,-0.0823723283342615,0.0033667390538567013,0.07970828946447255
57,16,16,RUN,1,0.13343452452995574,0.048202984800468696,0.03606841363202304,0.10609766653362553
59,3,4,RUN,2,-0.021421947403193902,-0.07270981688905812,-0.0807222904172634,0.1352123278152799
59,11,14,RUN,4,0.03116490088485937,0.03282729472725901,0.009228590552491084,0.053098920600083796
59,17,17,RUN,1,0.02947169158881581,0.09003077039711874,0.022600277989346232,0.05749049185697537
59,19,19,RUN,1,-0.044077892858702505,-0.09248821859712128,0.0029410232389363265,0.04610845044201402
60,3,3,RUN,1,-0.059051738261457515,-0.11493685097434955,-0.004941646937067712,0.048321056391486455
60,5,5,RUN,1,0.05166687153255789,-0.04324837181517646,-0.041198457084694905,0.0921337968014916
60,10,10,RUN,1,0.025512413867090106,0.12435049780797477,0.07186538879044296,0.11947159411282426
60,12,12,RUN,1,-0.17917624949477742,-0.22215141583732684,-0.053957951115274856,0.08421063736249877
61,5,6,RUN,2,-0.05703585465153306,-0.08797431994610559,-0.028213417672628145,0.07399225710039531
61,12,12,RUN,1,0.09831377652593828,0.11563710642411353,0.054761181314928235,0.10046387775846155
61,16,17,RUN,2,-0.06774526137370435,-0.06252845639630406,-0.03057384697494398,0.06113230998524874
62,4,4,RUN,1,-0.08470344681209935,0.014046248941810353,0.0018910122094597374,0.10577760639779922
62,7,7,RUN,1,0.033665350254263766,0.027757164606785456,-0.054939387226383404,0.11419600005565707
62,9,10,RUN,2,-0.15751419001765815,-0.0663175149148209,-0.0023436737786313878,0.1126998070332059
62,14,14,RUN,1,-0.018941273075488693,-0.0015597345869214907,0.05457280242811692,0.10523621368702692
62,18,19,RUN,2,-0.02603309543129841,-0.004068936891037336,0.0007594526409617371,0.0522708935640058
63,4,5,RUN,2,-0.05470053927377949,0.0025998078607032127,0.021090578572713074,0.14335691355977742
63,8,8,RUN,1,0.02679629394821319,0.15880512824757725,-0.018576048911594267,0.11614010848806051
63,12,13,RUN,2,-0.03801354309066969,-0.048053145379711115,-0.0189358148709586,0.03373183837958687
63,15,15,RUN,1,0.291073650502776,0.41757270663247226,0.11229045757158305,0.18578576403117536
63,18,18,RUN,1,-0.2786525336750636,-0.2060722011244354,-0.030869534699966266,0.132917406283647
64,3,3,RUN,1,0.2907341444351126,0.07000391527653438,0.1690352330410681,0.2346000132771713
64,7,8,RUN,2,0.11606308671644852,0.1772207175517736,-0.002303311038109955,0.18109915302638596
64,10,10,RUN,1,-0.39109458996036167,-0.23253846822124657,0.021450581935903438,0.2278195694168141
64,12,12,RUN,1,-0.049156870182126625,-0.4683220807582101,-0.07185679189861238,0.23224657545434824
64,14,14,RUN,1,-0.2501941578559439,-0.010398098979688436,0.0751489641821072,0.24715239865887337
64,17,17,RUN,1,0.5111746001353291,0.5719648501725972,0.00418782221654536,0.2633851860513232
65,3,3,RUN,1,0.1053438719596175,0.020642832653546543,0.06473005132560686,0.09055631245952103
65,5,5,RUN,1,-0.11910546480599751,-0.07183409654023365,-0.015519992478112978,0.05410391806539244
65,8,9,RUN,2,-0.10874832985196314,-0.09184566807121307,-0.012712854451362658,0.0918502049582858
