_bin,p_run,n,bin_center,ci_lo,ci_hi
"(-0.651, -0.175]",0.3504273504273504,117,-0.41300000000000003,0.26998261263996287,0.44038202999965786
"(-0.175, -0.111]",0.35344827586206895,116,-0.143,0.27242847468283177,0.443863697651316
"(-0.111, -0.0657]",0.35344827586206895,116,-0.08835,0.27242847468283177,0.443863697651316
"(-0.0657, -0.0315]",0.3017241379310345,116,-0.0486,0.22565369944751185,0.39050629841633505
"(-0.0315, -0.000667]",0.3333333333333333,117,-0.0160835,0.25441414707414584,0.42284931186714586
"(-0.000667, 0.0327]",0.3706896551724138,116,0.0160165,0.2882606171492148,0.4614089466750333
"(0.0327, 0.0629]",0.3017241379310345,116,0.047799999999999995,0.22565369944751185,0.39050629841633505
"(0.0629, 0.117]",0.3879310344827586,116,0.08995,0.3042067212212056,0.4788402340931427
"(0.117, 0.193]",0.3448275862068966,116,0.155,0.2645561947174846,0.4350472818716131
"(0.193, 0.595]",0.3333333333333333,117,0.394,0.25441414707414584,0.42284931186714586
