episode_id,segment_start_step,segment_end_step,action,segment_len,mean_delta_3,mean_slope_5,mean_std_5
1,1,1,TUMBLE,1,,-0.21856902370697856,0.1092845118534893
1,2,3,RUN,2,-0.12864742665418694,-0.08189235621905205,0.09723421716011858
1,4,9,TUMBLE,6,0.030778583472644044,-0.004789220126741885,0.06131610874520647
1,10,10,RUN,1,-0.04960535769367242,0.026528178856622762,0.09172556080939673
1,11,15,TUMBLE,5,0.05137001599402631,0.016243554411152817,0.06445794977763572
1,16,16,RUN,1,0.41904175489883455,0.11878558443277899,0.19392551508594608
1,17,17,TUMBLE,1,0.3021081073686469,0.15320939189970942,0.22896286739790275
2,1,2,TUMBLE,2,,0.1736684958346939,0.11129845429192928
2,3,3,RUN,1,-0.08333164959727388,0.026630833493021876,0.10468039737678875
2,4,5,TUMBLE,2,-0.11455509981863655,-0.04128482691255597,0.12109682087864486
2,6,8,RUN,3,0.010503596056729195,-0.0029827175004765033,0.08146204119513785
2,9,16,TUMBLE,8,-0.016722549691453266,-0.011504297827763129,0.07434994262583568
2,17,19,RUN,3,0.03563693237044266,0.027954439372794387,0.08307627730310246
3,1,3,TUMBLE,3,0.018664317572296446,0.03681930601839859,0.030583754157327236
3,4,4,RUN,1,-0.1565004172324282,-0.015983053753028165,0.06371844329639283
3,5,15,TUMBLE,11,-0.005371626489345368,-0.010285542165847367,0.06876258053636489
3,16,17,RUN,2,0.18501213479137507,0.07291185338690402,0.11740425144894694
3,18,19,TUMBLE,2,0.18808115176181708,0.0995327964373391,0.14985707180435281
4,1,5,TUMBLE,5,0.035033898146682896,-0.012321855248669113,0.0820118505277465
4,6,6,RUN,1,0.07044696352952405,0.058614749808982396,0.0924967047663997
4,7,15,TUMBLE,9,0.04177962845904368,0.027270170133151236,0.12305585850722862
4,16,16,RUN,1,0.008448466618947076,-0.017515222224342857,0.08244944169598634
4,17,19,TUMBLE,3,-0.1379984126752981,-0.050228932002096126,0.12030369470162289
5,1,3,TUMBLE,3,-0.025756059225736844,0.09553912337711856,0.22162414882303097
5,4,4,RUN,1,0.2898467505914553,0.12494409483360823,0.28386706575739123
6,1,3,TUMBLE,3,0.09649637365346084,0.056985161115169713,0.04450488195875033
6,4,4,RUN,1,-0.07892043666339398,0.013700457291352613,0.05334519531808319
6,5,6,TUMBLE,2,-0.16506046969011967,-0.05246158203718089,0.09124602195259085
6,7,7,RUN,1,0.051682068254052665,-0.047130281567837724,0.09573186003423273
6,8,8,TUMBLE,1,0.17013299336032062,0.021654609660813194,0.07898265462831489
6,9,11,RUN,3,0.032502203743580226,0.0349627331907142,0.08320289012973474
6,12,12,TUMBLE,1,-0.10228233292581328,-0.01934899281637067,0.07910883262648984
6,13,13,RUN,1,0.0376263061945801,0.00572941862477621,0.07872177350006464
6,14,16,TUMBLE,3,-0.028427490109198806,-0.012545771989664257,0.08650517923496835
6,17,17,RUN,1,0.01138033279300809,-0.019095381520070318,0.09230852847888836
6,18,18,TUMBLE,1,-0.023234077111156735,-0.012307778904380869,0.08806232583073058
6,19,19,RUN,1,-0.1781464909569188,-0.014433724725815802,0.0905833525851499
9,1,2,TUMBLE,2,,-0.12475931279584988,0.08330384188635387
9,3,4,RUN,2,-0.04306727179864341,-0.047689136968197404,0.10025845659038077
9,5,6,TUMBLE,2,0.13765258465767624,0.03633323543453365,0.11000636995864432
9,7,7,RUN,1,-0.17280123127414287,-0.016972772244370462,0.1177884867321655
9,8,12,TUMBLE,5,0.02869356533698819,0.008361978740619513,0.08417858201465275
9,13,13,RUN,1,0.01868889246201877,0.005354206955286845,0.021992372637948347
9,14,17,TUMBLE,4,-0.02380905857767328,-0.020826032812156663,0.05967673139448311
9,18,18,RUN,1,0.05781298470950369,0.020679815167372505,0.09072185883299824
9,19,19,TUMBLE,1,0.0401066631776996,0.039432457111554825,0.092539038111802
10,1,4,TUMBLE,4,0.004176451707408144,-0.036895812754907185,0.07278033630346016
10,5,5,RUN,1,-0.059868484995029975,-0.026973428858892378,0.09760226304363388
10,6,6,TUMBLE,1,-0.06407661257663452,-0.012976241798201829,0.08887322733518868
10,7,7,RUN,1,-0.10958601074519354,-0.06329559364125062,0.10401144528045426
10,8,8,TUMBLE,1,-0.025801464630610935,-0.022710300561442257,0.044683182885700015
10,9,10,RUN,2,0.004434706750265974,-0.014123145153941318,0.03974421571694477
10,11,16,TUMBLE,6,0.0076958012858102205,-0.005014471605900205,0.05321570701996812
10,17,18,RUN,2,0.11053700508632289,0.06002420619204753,0.09543612982135659
10,19,19,TUMBLE,1,0.25088169214654915,0.0874575083586315,0.13547433856156532
11,1,1,TUMBLE,1,,-0.1913295481586279,0.09566477407931395
12,1,2,TUMBLE,2,,0.02839464373590644,0.0228622541876319
12,3,3,RUN,1,0.10272493388839643,0.033663288091957254,0.048018550965229494
12,4,4,TUMBLE,1,0.22447950505118608,0.06485971189403156,0.10522074982772632
13,1,1,TUMBLE,1,,-0.09077331853662676,0.04538665926831338
13,2,2,RUN,1,,0.0006401984856393791,0.04309591539470273
13,3,3,TUMBLE,1,0.2619777413669739,0.0788494018043479,0.11942155008616319
14,1,3,TUMBLE,3,-0.06298811677190558,0.09347078924153185,0.08520079296169399
14,4,4,RUN,1,-0.2481525947749666,-0.03710000078850059,0.11007119837997663
14,5,6,TUMBLE,2,-0.09434375853106944,-0.06728210654947323,0.11543037010920729
14,7,7,RUN,1,-0.11115661000394055,-0.05947541337920214,0.1058199491586879
14,8,9,TUMBLE,2,-0.0693079918367479,-0.0622952870947842,0.12423721691976507
14,10,12,RUN,3,0.10215188556263843,0.03800001620843995,0.09965033378071719
14,13,14,TUMBLE,2,0.1809970931089292,0.069627609947212,0.11637308682919376
14,15,16,RUN,2,0.01221795586884561,0.04463947071260542,0.11062541686265528
14,17,18,TUMBLE,2,-0.15148692125285304,-0.04532238359928914,0.11422934489334127
14,19,19,RUN,1,-0.36815144824097135,-0.1031422009221193,0.16754235248387997
15,1,3,TUMBLE,3,-0.06542469025423905,-0.09988491789783932,0.08651812245254141
15,4,5,RUN,2,0.08071710980314704,0.023403295752552566,0.09753622312189793
15,6,8,TUMBLE,3,-0.07775357423101524,-0.043025283441728936,0.12403333951192953
15,9,9,RUN,1,0.12055503993644018,0.024527811823950203,0.07558076405375157
15,10,10,TUMBLE,1,-0.010174823013641235,0.04145568848385337,0.07390152386273739
15,11,11,RUN,1,0.10706359452358771,0.03141983915249329,0.05593505814489111
15,12,19,TUMBLE,8,-0.019251249225505713,-0.012282858919567114,0.09183186860146528
16,1,1,RUN,1,,0.10780232802020906,0.053901164010104544
16,2,7,TUMBLE,6,-0.024270004503655462,-0.020912446499322942,0.05484238916354989
16,8,8,RUN,1,0.006150467332140221,0.0002932383503877101,0.018252916779792766
16,9,13,TUMBLE,5,0.020555750067946944,0.007537279265615371,0.048593845652731546
16,14,14,RUN,1,0.05670290521456615,0.03363415996179579,0.09506867074958662
16,15,15,TUMBLE,1,-0.01362570565863358,0.018995080276050635,0.08713320849681717
16,16,16,RUN,1,0.22984008155120625,0.0279697059042562,0.10045687630435378
16,17,19,TUMBLE,3,-0.056750854913443005,0.015493282483547035,0.0840499934130815
17,1,7,TUMBLE,7,4.280958115672195e-05,-0.0037509594865804538,0.08061347782748572
17,8,8,RUN,1,-0.17295911833407934,-0.06961179141230849,0.10740553116049402
17,9,9,TUMBLE,1,0.009732457883996633,-0.03132847058070313,0.06948878244651896
17,10,10,RUN,1,0.09617029682979956,0.0038434871140013327,0.06795961917229244
17,11,13,TUMBLE,3,0.04896129396711185,0.009235306193475344,0.094006662890179
17,14,15,RUN,2,0.0005547420677971451,0.03509048115614181,0.12220052140007724
17,16,19,TUMBLE,4,0.005846513481512182,0.02007848082205914,0.09504718289611815
18,1,2,TUMBLE,2,,-0.03593431241602549,0.03906559266340068
18,3,4,RUN,2,-0.15661414791535522,-0.04776356836438247,0.08285594043246446
18,5,6,TUMBLE,2,0.0290246798271429,-0.041519514602212614,0.10666605070050177
18,7,8,RUN,2,-0.014402423634205734,0.024914405904389578,0.08843979423618864
18,9,9,TUMBLE,1,0.03713025836396971,0.012660809775886366,0.08745473465970029
18,10,10,RUN,1,0.0810072833680716,-0.003991866071090035,0.07132340045935412
18,11,11,TUMBLE,1,0.0759299720256483,0.026753741639755434,0.06817725341529647
18,12,12,RUN,1,0.08453309487175201,0.05490864152912002,0.08505720885608893
18,13,13,TUMBLE,1,-0.05546363036363072,0.00772397577077644,0.038434349514095655
18,14,14,RUN,1,-0.0036685945292595917,-0.0002790828385101655,0.034726041514772876
18,15,15,TUMBLE,1,0.06979325583456171,0.010736999308810277,0.044910636079161945
18,16,16,RUN,1,-0.02354253753521998,-0.0030288071145496485,0.045377554567997795
18,17,19,TUMBLE,3,0.10725398366166145,0.030527124984446152,0.07636961226262524
19,1,1,TUMBLE,1,,-0.07334314578352734,0.03667157289176366
19,2,3,RUN,2,0.034360282279366355,0.0032490900761947654,0.03293321246305633
19,4,4,TUMBLE,1,-0.2590796683441768,-0.048384289065807023,0.10990236353997616
19,5,5,RUN,1,-0.07259133429586132,-0.046235355493379746,0.10859690756878466
19,6,6,TUMBLE,1,0.1327151309670262,-0.019134551458544088,0.11435726048293034
19,7,9,RUN,3,0.030483944193089595,0.020371674322699918,0.086362342220182
19,10,14,TUMBLE,5,-0.031648696366646044,0.004980798875263321,0.10963835274892134
19,15,15,RUN,1,0.054502940936598035,-0.03368931246705051,0.13189127636803952
19,16,16,TUMBLE,1,0.02496040160362948,-0.04039452651666931,0.13272100020554944
19,17,19,RUN,3,-0.07144018108385945,-0.018176298809503125,0.10594412093238455
20,1,3,TUMBLE,3,0.019486104989143063,0.0285358217111967,0.025183535137272273
20,4,4,RUN,1,0.06432112495451109,0.026395723440214357,0.04108455566518421
20,5,5,TUMBLE,1,0.1558124391852628,0.046809219931999414,0.07481626747412241
20,6,6,RUN,1,0.08689569360338753,0.04731170785903387,0.07535105361539193
20,7,7,TUMBLE,1,0.5470980235736873,0.14795205765887903,0.24262469002018702
21,1,2,RUN,2,,0.005555504925768191,0.033473063164164374
21,3,8,TUMBLE,6,-0.07911579445092874,-0.043987291031937374,0.12763449676273994
21,9,9,RUN,1,0.01297746674825137,-0.014377831313064379,0.10065383336581181
21,10,10,TUMBLE,1,-0.05941313148574057,0.017790832906841636,0.07236565679562457
21,11,11,RUN,1,0.06791500165758362,-0.004185670164509792,0.03738940471208126
21,12,16,TUMBLE,5,0.004468542948881202,0.005354773900453531,0.06345514814024523
21,17,18,RUN,2,0.05790515172358356,0.01700901220935106,0.08402315256254485
21,19,19,TUMBLE,1,0.004403409995881093,0.0010531193799913196,0.07549047097241517
22,1,1,TUMBLE,1,,0.1433111606146518,0.07165558030732594
23,1,2,TUMBLE,2,,0.07122197493668661,0.04662828145624766
23,3,3,RUN,1,-0.189010967453973,-0.028882771555551034,0.09549354456960807
23,4,4,TUMBLE,1,-0.1768695240449791,-0.048254467898226974,0.10894269931258248
23,5,6,RUN,2,0.05734987898229928,-0.021421763593984726,0.12103297037866548
23,7,8,TUMBLE,2,0.14133152475343938,0.05382258703400046,0.11772626945562684
23,9,9,RUN,1,-0.031067641446225768,0.012509062821359477,0.09813125541455113
23,10,12,TUMBLE,3,0.025630196627316488,0.0016063153631299812,0.08423228367624584
23,13,14,RUN,2,-0.1028425840574273,-0.0011397718846320442,0.08653620356742617
23,15,17,TUMBLE,3,0.037901947089818096,-0.0171653065387973,0.09577612013023025
23,18,18,RUN,1,-0.1783969431088173,0.0013053561979946154,0.10438860411382248
23,19,19,TUMBLE,1,0.05322402393451468,0.01259880230725745,0.10837466084859315
24,1,3,TUMBLE,3,-0.10271293080398905,-0.043281871913067003,0.03987578879422518
24,4,4,RUN,1,-0.07323475690734618,-0.03767156558093528,0.059616246387942655
24,5,9,TUMBLE,5,0.028925602956583123,0.016132578863032265,0.08957253491134187
24,10,10,RUN,1,0.047581703770057465,-0.03139758139869935,0.0798326294924776
24,11,11,TUMBLE,1,-0.0737335057673867,-0.006738892347571571,0.0339861883266842
24,12,12,RUN,1,-0.17498239216506728,-0.04026995404946644,0.07727752974375877
24,13,14,TUMBLE,2,-0.0475716715827634,-0.0477681086550729,0.08157751231161353
24,15,15,RUN,1,0.010031514543534788,-0.014119245118791349,0.0397860039718176
24,16,17,TUMBLE,2,0.17912158343716272,0.04311795673242289,0.07731070084207171
24,18,18,RUN,1,0.30537298313263905,0.11946529234131952,0.17865026779072296
25,1,2,RUN,2,,-0.15085169255840386,0.16390032898769327
25,3,3,TUMBLE,1,0.2233122296145803,0.07631594352369206,0.1727495932579576
25,4,5,RUN,2,0.22301553618839745,0.11895956152244883,0.2052306449552475
26,1,1,RUN,1,,0.019139995659977697,0.009569997829988859
26,2,3,TUMBLE,2,-0.00907387373883245,0.03611392285541651,0.04359436295113289
26,4,4,RUN,1,-0.18426167242264357,-0.024852804233361434,0.07742591148025295
26,5,5,TUMBLE,1,0.0666785582599664,-0.013726949440407032,0.08133012883554043
26,6,8,RUN,3,-0.08234105111875677,-0.014392357286896064,0.09155877567911284
26,9,9,TUMBLE,1,0.13297359947252843,-0.031075130608201534,0.11155366950920356
26,10,14,RUN,5,0.02437258284850121,0.0005343503903737987,0.11386123445598106
26,15,15,TUMBLE,1,0.03411171047083994,0.0651804074185239,0.12300306670082628
26,16,16,RUN,1,-0.030478590822000134,0.019307355005252817,0.07642063319719877
26,17,18,TUMBLE,2,-0.07133176369609343,-0.022636469174760407,0.04746244776252041
26,19,19,RUN,1,-0.04816474920492882,-0.03516044287417069,0.057439858806250556
27,1,2,TUMBLE,2,,-0.12883077891952988,0.08277003229983196
27,3,3,RUN,1,0.14358843138351285,0.006155143057718112,0.09494876703253953
27,4,5,TUMBLE,2,0.07462129687465995,0.03628320459896169,0.09328509535253893
27,6,6,RUN,1,0.2265330731172101,0.07843056390426509,0.13417756966973535
27,7,7,TUMBLE,1,0.048048458967910795,0.040707856441352004,0.09302395271219381
27,8,8,RUN,1,-0.045351721506644044,0.023530980302458912,0.09012586138501957
27,9,9,TUMBLE,1,-0.12670467635615107,-0.008481905091498144,0.09138981311630177
27,10,10,RUN,1,0.008632549462197686,-0.042469774379304416,0.07427912280019473
27,11,17,TUMBLE,7,0.027544608874158688,0.0005530039246657252,0.10386890630320357
27,18,19,RUN,2,0.20902958524434942,0.0968734566702685,0.15477885109788875
28,1,1,TUMBLE,1,,0.08427177985680932,0.042135889928404675
28,2,2,RUN,1,,0.009589985008432741,0.03606560047457012
28,3,3,TUMBLE,1,-0.08170930303455487,-0.020676796906993377,0.04719504811039098
28,4,4,RUN,1,0.15611133128138585,0.021820973860508453,0.07693373098606941
28,5,6,TUMBLE,2,0.15138965995693263,0.07084225903167918,0.14752849989132033
28,7,7,RUN,1,-0.18498681521727364,0.015466702048723191,0.1430038480797163
28,8,9,TUMBLE,2,0.026714176272053566,-0.03243756900492967,0.1085508117481786
28,10,10,RUN,1,-0.0481888464736239,0.0028178546603797507,0.05436110857439123
28,11,12,TUMBLE,2,-0.055821026010579505,-0.02163798488715351,0.06061546412930928
28,13,14,RUN,2,-0.033118628117405846,-0.01361365372093094,0.043392317450361206
28,15,16,TUMBLE,2,-0.07774315471492768,-0.021127663786321135,0.07184646974177428
28,17,17,RUN,1,0.09431995198107722,-0.015858320768526727,0.09415573354793678
28,18,19,TUMBLE,2,-0.0016538717325711716,-0.023440495200177207,0.1366261759600536
29,1,3,TUMBLE,3,-0.16724743726365562,-0.012058769084465197,0.034828878746066154
29,4,4,RUN,1,-0.03254019139310845,-0.03587431276892106,0.06864417584160597
29,5,6,TUMBLE,2,0.03479963702882451,-0.011277628168754543,0.056446166397376915
29,7,8,RUN,2,0.06003281968410852,0.032845921554732996,0.05261794274530624
30,1,2,RUN,2,,0.03155431984839046,0.024714636891861902
30,3,6,TUMBLE,4,0.19741138032217853,0.06317977318455247,0.1664239903331241
30,7,8,RUN,2,-0.3308568796959396,-0.047484058643159396,0.32286615684436715
30,9,11,TUMBLE,3,0.06667330336530124,-0.007158599463203949,0.23670260009179958
30,12,12,RUN,1,-0.030539736124794534,0.029647769249522383,0.07235710525813017
30,13,13,TUMBLE,1,-0.29868964037200474,-0.06461927379369918,0.12058723447427766
30,14,14,RUN,1,0.018234736863824562,-0.05442044423881121,0.11758086223125658
30,15,16,TUMBLE,2,0.08867551045252994,-0.010804395024768305,0.11554819037559713
30,17,17,RUN,1,0.006481013908680076,0.05768878950368932,0.11542075022482735
30,18,19,TUMBLE,2,0.016415141976315033,0.020585985274589623,0.07924988694073187
31,1,7,TUMBLE,7,-0.02746605711000038,0.009450189070754192,0.0630536632145925
31,8,8,RUN,1,-0.02291772888646626,-0.008518706559762623,0.07180518606005626
31,9,10,TUMBLE,2,0.16225947787682107,0.07037443669581961,0.14115826219393113
31,11,11,RUN,1,-0.06334571920540108,0.012741470702446692,0.11469005633636889
31,12,14,TUMBLE,3,0.10817983548826647,0.029843627935459072,0.10191872836103975
32,1,1,TUMBLE,1,,-0.06793363046795002,0.03396681523397501
32,2,4,RUN,3,0.06731946714144092,-0.03087486094059692,0.057675237523569796
32,5,6,TUMBLE,2,0.037645799043535794,0.03876858046273358,0.07264398580497049
32,7,8,RUN,2,0.14113304755221498,0.04622161732308516,0.09267144828558443
32,9,9,TUMBLE,1,0.2902565893425873,0.09134343014110802,0.14952918555311392
32,10,10,RUN,1,0.0377184636381912,0.08504357328019237,0.145221493581621
33,1,1,TUMBLE,1,,-0.00526490625095799,0.002632453125478995
34,1,4,TUMBLE,4,-0.01461492045514684,0.0698748227762088,0.06803748064841819
34,5,5,RUN,1,0.2932759863077699,0.04536456428467101,0.12375027967291334
35,1,2,RUN,2,,0.015296144531859079,0.06481235752374805
35,3,3,TUMBLE,1,-0.08090938737162373,-0.04783033935374774,0.08143162575408226
35,4,4,RUN,1,0.15697629503491897,0.005502676900762119,0.09362973100155553
35,5,5,TUMBLE,1,0.15527412144343847,0.030632318038588666,0.10620871854723156
35,6,6,RUN,1,0.1125860531796347,0.07775468711246293,0.11858627655968144
35,7,8,TUMBLE,2,0.020154545303050553,0.0168523054074044,0.10576747147718976
35,9,9,RUN,1,-0.16599204399673353,-0.01642484280151587,0.12760458887334372
35,10,14,TUMBLE,5,0.031018256210501416,0.004274914746087463,0.1190113177762675
35,15,15,RUN,1,0.2761737090240289,0.06107519923957346,0.12681859917603572
35,16,16,TUMBLE,1,0.34946389121068067,0.14359458870196604,0.20558457584627346
36,1,1,TUMBLE,1,,0.11621344609582071,0.0581067230479104
36,2,2,RUN,1,,-0.016955110474418805,0.06428459599935334
36,3,3,TUMBLE,1,-0.048887818746030376,-0.021448389813576697,0.059560981281180994
36,4,7,RUN,4,-0.09694257096775924,-0.056610084380199856,0.0991761874639239
36,8,9,TUMBLE,2,-0.21969957854466557,-0.06220309226205836,0.1342944716501227
36,10,11,RUN,2,-0.04604695908630616,-0.07295723090318096,0.14559807766536562
36,12,13,TUMBLE,2,0.12539032959167282,0.05242445727588263,0.10710140592420953
36,14,14,RUN,1,-0.15095769148549423,0.007344398868632015,0.10829054176321445
36,15,19,TUMBLE,5,0.029885776717975276,0.006567204458287189,0.12316627974997314
37,1,1,RUN,1,,-0.022418678972134315,0.01120933948606715
37,2,7,TUMBLE,6,-0.012158806570927596,-0.0199268124147745,0.08369257552065658
37,8,11,RUN,4,-0.016391324025414704,-0.006723705886551196,0.07258173893880553
37,12,12,TUMBLE,1,-0.15025977421526554,-0.06251848749715701,0.10257392545228805
37,13,13,RUN,1,0.17295853646998227,0.012549089663557814,0.08831448411646252
37,14,14,TUMBLE,1,-0.046148042205483755,0.0004448825231031884,0.0903555026167502
37,15,16,RUN,2,0.11735430834117666,0.05035975232437799,0.11947892188593665
37,17,17,TUMBLE,1,-0.2742806139800415,-0.046845655283240674,0.13711687372952328
37,18,18,RUN,1,0.07171379499365438,-0.0051026976423107695,0.13422729471436548
37,19,19,TUMBLE,1,0.09096376377545369,-0.015028459693679386,0.12960863241022433
38,1,3,TUMBLE,3,-0.3210990851564238,-0.04691396323266778,0.05650741389855533
38,4,4,RUN,1,0.2912374686370236,-0.002504613668689549,0.16283358138819673
38,5,5,TUMBLE,1,0.04164132787557409,0.01428710523616777,0.16119235967878295
38,6,6,RUN,1,0.03518355458446018,0.033990667238171214,0.15940715467318717
38,7,7,TUMBLE,1,-0.17748014923933808,0.018376115380044,0.16301471708468193
38,8,8,RUN,1,-0.17643400678091417,-0.09322848017695112,0.13670247725702825
38,9,9,TUMBLE,1,-0.18509890429728515,-0.08013036842402128,0.11641623452745714
38,10,10,RUN,1,-0.02522114252438594,-0.06450372600120674,0.1032225524629523
38,11,15,TUMBLE,5,-0.029463963552944738,-0.02120694640112559,0.09722977939131805
38,16,16,RUN,1,0.1549324546600432,0.04594205516424443,0.10019150599924116
38,17,17,TUMBLE,1,0.16809130457658827,0.0429929586270367,0.0962907220207014
38,18,18,RUN,1,-0.12189706248194762,0.02802348967780097,0.10203171660501043
38,19,19,TUMBLE,1,-0.13704454364815472,-0.01557745783010965,0.09916473246115606
40,1,2,TUMBLE,2,,0.07540888393716916,0.0530688986580892
40,3,3,RUN,1,-0.030117078554874915,0.004653576954802779,0.043434476683231395
40,4,7,TUMBLE,4,0.05922865221411689,0.02835880292267156,0.09813431578341532
40,8,10,RUN,3,-0.07446588508184357,-0.024766430162459368,0.1105521892617346
40,11,11,TUMBLE,1,0.20478571779934143,0.017781231656798648,0.12140413881249232
40,12,13,RUN,2,0.009393485092470448,0.022093836884886812,0.11627282523624474
40,14,19,TUMBLE,6,0.006604622343629275,-0.004973029291882152,0.09944713857299076
41,1,3,TUMBLE,3,-0.020791685084227587,-0.01261633267793501,0.05269142901970545
41,4,4,RUN,1,0.19677852535084123,0.02261068446659547,0.09325366782050329
41,5,5,TUMBLE,1,0.04450226076454854,0.026450291966903492,0.09397853840733729
41,6,7,RUN,2,-0.058048275880803996,0.019389688857274368,0.08677617725039796
41,8,8,TUMBLE,1,0.054310796014001156,-0.025064549943088685,0.0662058408792858
41,9,9,RUN,1,-0.15742185088870625,-0.032636479522353254,0.077995405175289
41,10,11,TUMBLE,2,-0.03361373362806946,-0.037242801857013216,0.09949963195660952
41,12,12,RUN,1,-0.0418843215996432,-0.030303984998265088,0.0998862007836391
41,13,14,TUMBLE,2,0.012288813638946345,0.015751172357948116,0.0692654862500853
41,15,15,RUN,1,-0.01925040310105702,-0.019757269278493927,0.05286717211739016
41,16,16,TUMBLE,1,0.10959795157048893,0.0271340317132478,0.057195655877679365
41,17,17,RUN,1,0.14634778914057944,0.03948093426224271,0.07434460292604225
41,18,19,TUMBLE,2,-0.022450547990659805,0.021735594304421273,0.07607611667132302
